ID,cateID,cate,name,size,shinsu,kousei,gaikei,teiko_20,juryo,kyoyo1,kyoyo_90,kyoyo_110,kiteiondo,saikouondo,maker,tanka,estimate,e_date,makerID
1,2,VCTF,NULL,0.3,2,12/0.18,4.6,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
2,2,VCTF,NULL,0.5,2,20/0.18,5.8,37.8,45,9,,,,,富士電線,NULL,NULL,NULL,170
3,2,VCTF,NULL,0.75,2,30/0.18,6.6,25.1,60,11,,,,,富士電線,NULL,NULL,NULL,170
4,2,VCTF,NULL,1.25,2,50/0.18,7.4,15.1,80,16,,,,,富士電線,NULL,NULL,NULL,170
5,2,VCTF,NULL,2,2,37/0.26,8,9.79,100,20,,,,,富士電線,NULL,NULL,NULL,170
6,2,VCTF,NULL,3.5,2,45/0.32,9.4,5.24,100,20,,,,,富士電線,NULL,NULL,NULL,170
7,2,VCTF,NULL,0.3,3,12/0.18,4.8,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
8,2,VCTF,NULL,0.5,3,20/0.18,6.1,37.8,55,7,,,,,富士電線,NULL,NULL,NULL,170
9,2,VCTF,NULL,0.75,3,30/0.18,7,25.1,75,10,,,,,富士電線,NULL,NULL,NULL,170
10,2,VCTF,NULL,1.25,3,50/0.18,7.8,15.1,100,13,,,,,富士電線,NULL,NULL,NULL,170
11,2,VCTF,NULL,2,3,37/0.26,8.5,9.79,125,17,,,,,富士電線,NULL,NULL,NULL,170
12,2,VCTF,NULL,3.5,3,45/0.32,10,5.24,125,17,,,,,富士電線,NULL,NULL,NULL,170
13,2,VCTF,NULL,0.3,4,12/0.18,5.2,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
14,2,VCTF,NULL,0.5,4," 20/0.18   ",6.6,37.8,65,7,,,,,富士電線,NULL,NULL,NULL,170
15,2,VCTF,NULL,0.75,4, 30/0.18,7.6,25.1,90,9,,,,,富士電線,NULL,NULL,NULL,170
16,2,VCTF,NULL,1.25,4,"50/ 0.18",8.5,15.1,,,,,,,富士電線,NULL,NULL,NULL,170
17,2,VCTF,NULL,2,4, 37/0.26,9.3,9.79,155,15,,,,,富士電線,NULL,NULL,NULL,170
18,2,VCTF,NULL,3.5,4, 45/0.32,10.9,5.24,155,15,,,,,富士電線,NULL,NULL,NULL,170
19,2,VCTF,NULL,0.3,5,12/0.18,5.7,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
20,2,VCTF,NULL,0.5,5,"20/ 0.18",7.1,37.8,80,6,,,,,富士電線,NULL,NULL,NULL,170
21,2,VCTF,NULL,0.75,5,"30/ 0.18",8.2,25.1,105,8,,,,,富士電線,NULL,NULL,NULL,170
22,2,VCTF,NULL,1.25,5,"50/ 0.18",9.3,15.1,145,11,,,,,富士電線,NULL,NULL,NULL,170
23,2,VCTF,NULL,2,5,"37/ 0.26",10.1,9.79,190,14,,,,,富士電線,NULL,NULL,NULL,170
24,2,VCTF,NULL,0.3,6,"12/ 0.18",6.1,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
25,2,VCTF,NULL,0.5,6,"20/ 0.18",7.7,37.8,95,6,,,,,富士電線,NULL,NULL,NULL,170
26,2,VCTF,NULL,0.75,6,"30/ 0.18",8.9,25.1,125,8,,,,,富士電線,NULL,NULL,NULL,170
27,2,VCTF,NULL,1.25,6,50/0.18,10.1,15.1,175,11,,,,,富士電線,NULL,NULL,NULL,170
28,2,VCTF,NULL,2,6,"37/ 0.26",11,9.79,225,14,,,,,富士電線,NULL,NULL,NULL,170
29,2,VCTF,NULL,0.3,7,"12/ 0.18",6.1,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
30,2,VCTF,NULL,0.5,7,"20/ 0.18",7.7,37.8,95,5,,,,,富士電線,NULL,NULL,NULL,170
31,2,VCTF,NULL,0.75,7,"30/ 0.18",8.9,25.1,130,7,,,,,富士電線,NULL,NULL,NULL,170
32,2,VCTF,NULL,1.25,7,"50/ 0.18",10.1,15.1,185,10,,,,,富士電線,NULL,NULL,NULL,170
33,2,VCTF,NULL,2,7,"37/ 0.26",11,9.79,240,13,,,,,富士電線,NULL,NULL,NULL,170
34,2,VCTF,NULL,0.3,8,"12/ 0.18",7,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
35,2,VCTF,NULL,0.5,8,20/0.18,8.3,37.8,110,5,,,,,富士電線,NULL,NULL,NULL,170
36,2,VCTF,NULL,0.75,8,"30/ 0.18",9.6,25.1,150,7,,,,,富士電線,NULL,NULL,NULL,170
37,2,VCTF,NULL,1.25,8,"50/ 0.18",10.9,15.1,210,10,,,,,富士電線,NULL,NULL,NULL,170
38,2,VCTF,NULL,2,8,"37/ 0.26",11.9,9.79,275,12,,,,,富士電線,NULL,NULL,NULL,170
39,2,VCTF,NULL,0.3,10,"12/ 0.18",8,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
40,2,VCTF,NULL,0.5,10,"20/ 0.18",9.6,37.8,125,5,,,,,富士電線,NULL,NULL,NULL,170
41,2,VCTF,NULL,0.75,10,"30/ 0.18",11.2,25.1,170,5,,,,,富士電線,NULL,NULL,NULL,170
42,2,VCTF,NULL,1.25,10,"50/ 0.18",12.8,15.1,240,9,,,,,富士電線,NULL,NULL,NULL,170
43,2,VCTF,NULL,2,10,"37/ 0.26",14.2,9.79,325,11,,,,,富士電線,NULL,NULL,NULL,170
44,2,VCTF,NULL,0.3,12,"12/ 0.18",8.2,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
45,2,VCTF,NULL,0.5,12,"20/ 0.18",9.9,37.8,140,4,,,,,富士電線,NULL,NULL,NULL,170
46,2,VCTF,NULL,0.75,12,"30/ 0.18",11.6,25.1,195,5,,,,,富士電線,NULL,NULL,NULL,170
47,2,VCTF,NULL,1.25,12,"50/ 0.18",13.4,15.1,280,8,,,,,富士電線,NULL,NULL,NULL,170
48,2,VCTF,NULL,2,12,"37/ 0.26",14.7,9.79,375,11,,,,,富士電線,NULL,NULL,NULL,170
49,2,VCTF,NULL,0.3,16,"12/ 0.18",9.2,62.9,,,,,,,富士電線,NULL,NULL,NULL,170
50,2,VCTF,NULL,0.5,16,"20/ 0.18",11,37.8,175,4,,,,,富士電線,NULL,NULL,NULL,170
51,2,VCTF,NULL,0.75,16,"30/ 0.18",12.9,25.1,245,4,,,,,富士電線,NULL,NULL,NULL,170
52,2,VCTF,NULL,1.25,16,"50/ 0.18",15,15.1,355,7,,,,,富士電線,NULL,NULL,NULL,170
