ID,classID,capa,magnet,thermal,yobi,teikaku,hanni,ct,main,star_s,star_d,delta
1,1,0.015,MSO-T10,TH-T18,0.12,11,0.1～0.16,(0-3-9A),NULL,NULL,NULL,NULL
2,1,0.025,MSO-T10,TH-T18,0.17,11,0.14～0.22,(0-3-9A),NULL,NULL,NULL,NULL
3,1,0.03,MSO-T10,TH-T18(25),0.24,11,0.2～0.32,(0-3-9A),NULL,NULL,NULL,NULL
4,1,0.035,MSO-T10,TH-T18(25),0.035,11,0.28～0.42,(0-3-9A),NULL,NULL,NULL,NULL
5,1,0.05,MSO-T10,TH-T18(25),0.35,11,0.28～0.42,(0-3-9A),NULL,NULL,NULL,NULL
6,1,0.07,MSO-T10,TH-T18(25),0.5,11,0.4～0.6,(0-3-9A),NULL,NULL,NULL,NULL
7,1,0.1,MSO-T10,TH-T18(25),0.7,11,0.55～0.85,(0-3-9A),NULL,NULL,NULL,NULL
8,1,0.15,MSO-T10,TH-T18(25),0.9,11,0.7～1.1,(0-3-9A),NULL,NULL,NULL,NULL
9,1,0.2,MSO-T10,TH-T18(25),1.3,11,1～1.6,(0-3-9A),NULL,NULL,NULL,NULL
10,1,0.3,MSO-T10,TH-T18(25),1.7,11,1.4～2,(0-3-9A),NULL,NULL,NULL,NULL
11,1,0.4,MSO-T10,TH-T18(25),2.1,11,1.7～2.5,5/5A(0-5-15A),NULL,NULL,NULL,NULL
12,1,0.55,MSO-T10,TH-T18(25),2.5,11,2～3,7.5/5A(0-7.5-22.5A),NULL,NULL,NULL,NULL
13,1,0.75,MSO-T10,TH-T18(25),3.6,11,2.8～4.4,7.5/5A(0-7.5-22.5A),NULL,NULL,NULL,NULL
14,1,1,MSO-T10,TH-T18(25),5,11,4～6,10/5A(0-10-30A),NULL,NULL,NULL,NULL
15,1,1.5,MSO-T10,TH-T18(25),6.4,11,5.2～8,10/5A(0-10-30A),NULL,NULL,NULL,NULL
16,1,1.9,MSO-T10,TH-T18(25),9,11,7～11,15/5A(0-15-45A),NULL,NULL,NULL,NULL
17,1,2.2,MSO-T10,TH-T18(25),9,11,7～11,15/5A(0-15-45A),NULL,NULL,NULL,NULL
18,1,2.5,MSO-T12,TH-T18(25),11,13,9～13,20/5A(0-20-60A),NULL,NULL,NULL,NULL
19,1,3,MSO-T21,TH-T18(25),11,18,9～13,20/5A(0-20-60A),NULL,NULL,NULL,NULL
20,1,3.7,MSO-T21,TH-T18(25･65),15,18,12～18,20/5A(0-20-60A),NULL,NULL,NULL,NULL
21,1,5.5,MSO-T35,TH-T25(65),22,34,18～26,30/5A(0-30-90A),S-T20,S-T10,NULL,S-T20
22,1,7.5,MSO-T35,TH-T50(65),29,34,24～34,40/5A(0-40-120A),S-T21,S-T12,NULL,S-T21
23,1,9,MSO-T50,TH-T50(65),35,50,30～40,60/5A(0-60-180A),S-T35,S-T20,NULL,S-T35
