ID,cateID,size,keishiki,gaikei,juryo,atsusa
1,1,E19,DW819K,19.1,0.53,1.2
2,1,E25,DW825K,25.4,0.716,1.2
3,1,E31,DW831K,31.8,1.05,1.4
4,1,E39,DW839K,38.1,1.27,1.4
5,1,E51,DW851K,50.8,1.71,1.4
6,1,E63,DW863K,63.5,2.44,1.6
7,1,E75,DW875K,76.2,3.3,1.8
8,2,C19,DW119K,19.1,0.691,1.6
9,2,C25,DW125K,25.4,0.939,1.6
10,2,C31,DW131K,31.8,1.19,1.6
11,2,C39,DW139K,38.1,1.44,1.6
12,2,C51,DW151K,50.8,1.94,1.6
13,2,C63,DW163K,63.5,3.03,2
14,2,C75,DW175K,76.2,3.66,2
15,3,G16,DW216K,21,1.06,2.3
16,3,G22,DW222K,26.5,1.37,2.3
17,3,G28,DW228K,33.3,1.9,2.5
18,3,G36,DW236K,41.9,2.43,2.5
19,3,G42,DW242K,47.8,2.79,2.5
20,3,G54,DW254K,59.6,3.92,2.8
21,3,G70,DW270K,75.2,5,2.8
22,3,G82,DW282K,87.9,5.88,2.8
23,3,G92,DW392K,100.7,8.39,3.5
24,3,G104,DW394K,113.4,9.48,3.5
