ID,cateID,size,keishiki,gaikei,juryo,atsusa
1,1,NULL,6A,10.5,0.419,2
2,1,NULL,8A,13.8,0.652,2.3
3,1,NULL,10A,17.3,0.851,2.3
4,1,NULL,15A,21.7,1.31,2.8
5,1,NULL,20A,27.2,1.68,2.8
6,1,NULL,25A,34,2.43,3.2
7,1,NULL,32A,42.7,3.38,3.5
8,1,NULL,40A,48.6,3.89,3.5
9,1,NULL,50A,60.5,5.31,3.8
10,1,NULL,65A,76.3,7.47,4.2
11,1,NULL,80A,89.1,8.79,4.2
12,1,NULL,90A,101.6,10.1,4.2
13,1,NULL,100A,114.3,12.2,4.5
14,1,NULL,125A,139.8,15,4.5
15,1,NULL,150A,165.2,19.8,5
16,1,NULL,175A,190.7,24.2,5.3
17,1,NULL,200A,216.3,30.1,5.8
18,1,NULL,225A,241.8,36,6.2
19,1,NULL,250A,267.4,42.4,6.6
20,1,NULL,300A,318.5,53,6.9
21,1,NULL,350A,335.6,67.7,7.9
22,1,NULL,400A,406.4,77.6,7.9
23,1,NULL,450A,475.2,87.5,7.9
24,NULL,NULL,500A,508,97.4,7.9
