ID,classID,capa,zenfuka,yobi,hanni,pow_name
1,1,0.015,NULL,0.12,0.1～0.16,200V
2,1,0.025,NULL,0.17,0.14～0.22,200V
3,1,0.03,NULL,0.24,0.2～0.32,200V
4,1,0.035,NULL,0.035,0.28～0.42,200V
5,1,0.05,NULL,0.35,0.28～0.42,200V
6,1,0.07,NULL,0.5,0.4～0.6,200V
7,1,0.1,0.7,0.7,0.55～0.85,200V
8,1,0.15,NULL,0.9,0.7～1.1,200V
9,1,0.2,1.2,1.3,1～1.6,200V
10,1,0.3,NULL,1.7,1.4～2,200V
11,1,0.4,2.1,2.1,1.7～2.5,200V
12,1,0.55,NULL,2.5,2～3,200V
13,1,0.75,3.7,3.6,2.8～4.4,200V
14,1,1,NULL,5,4～6,200V
15,1,1.5,6.4,6.6,5.2～8,200V
16,1,1.9,NULL,9,7～11,200V
17,1,2.2,9.1,9,7～11,200V
18,1,2.5,NULL,11,9～13,200V
19,1,3,NULL,11,9～13,200V
20,1,3.7,15,15,12～18,200V
21,1,5.5,22,22,18～26,200V
22,1,7.5,29,29,24～34,200V
23,1,9,NULL,35,30～40,200V
24,1,11,44,42,34～50,200V
25,1,15,55,54,43～65,200V
26,1,18.5,67,67,54～80,200V
27,1,22,85,82,65～100,200V
28,1,30,110,105,85～125,200V
29,1,37,130,125,100～150,200V
30,1,45,164,150,120～180,200V
31,1,50,NULL,180,140～220,200V
32,1,55,180,180,140～220,200V
33,1,60,NULL,180,140～220,200V
34,1,75,267,250,200～300,200V
35,1,90,320,330,260～400,200V
36,1,110,335,330,260～400,200V
37,1,132,470,500,400～600,200V
38,1,150,NULL,500,400～600,200V
39,1,160,580,500,400～600,200V
40,1,200,720,660,520～800,200V
41,1,300,NULL,NULL,NULL,200V
42,1,400,NULL,NULL,NULL,200V
43,2,0.015,NULL,-,NULL,400V
44,2,0.025,NULL,-,NULL,400V
45,2,0.03,NULL,-,NULL,400V
46,2,0.035,NULL,-,NULL,400V
47,2,0.05,NULL,0.24,0.2～0.32,400V
48,2,0.07,NULL,0.35,0.28～0.42,400V
49,2,0.1,NULL,0.35,0.28～0.42,400V
50,2,0.15,NULL,0.5,0.4～0.6,400V
51,2,0.18,NULL,0.7,0.55～0.85,400V
52,2,0.2,0.6,0.7,0.55～0.85,400V
53,2,0.25,NULL,0.9,0.7～1.1,400V
54,2,0.3,NULL,0.9,0.7～1.1,400V
55,2,0.37,NULL,1.3,1～1.6,400V
56,2,0.4,1.1,1.3,1～1.6,400V
57,2,0.55,NULL,1.3,1～1.6,400V
58,2,0.75,1.9,1.7,1.4～2,400V
59,2,1,NULL,2.5,2～3,400V
60,2,1.5,3.2,3.6,2.8～4.4,400V
61,2,1.9,NULL,5,4～6,400V
62,2,2.2,4.6,5,4～6,400V
63,2,2.5,NULL,5,4～6,400V
64,2,3,NULL,6.6,5.2～8,400V
65,2,3.7,7.5,6.6,5.2～8,400V
66,2,5.5,11,11,9～13,400V
67,2,7.5,15,15,12～18,400V
68,2,9,NULL,15,12～18,400V
69,2,11,22,22,18～26,400V
70,2,15,28,29,24～34,400V
71,2,18.5,34,35,30～40,400V
72,2,22,42,42,34～50,400V
73,2,30,55,54,43～65,400V
74,2,37,65,67,54～80,400V
75,2,45,82,82,65～100,400V
76,2,50,NULL,105,85～125,400V
77,2,55,96,105,85～125,400V
78,2,60,NULL,105,85～125,400V
79,2,75,134,125,100～150,400V
80,2,90,160,150,120～180,400V
81,2,110,192,180,140～220,400V
82,2,132,233,250,200～300,400V
83,2,150,NULL,250,200～300,400V
84,2,160,290,250,200～300,400V
85,2,200,360,330,260～400,400V
86,2,300,500,500,400～600,400V
87,2,400,NULL,660,520～800,400V
